Le robot s'est bien connecté au serveur !
L'adresse IP est : 100.75.155.134
TCPClient : Connexion
Temps :  8.3637505 ; pos : (0.47634, 0.47634) ; rot : 6.16499365
Le robot se stop.
Temps :  8.4692662 ; pos : (0.47658, 0.47658) ; rot : 6.15864281
Temps :  8.5747933 ; pos : (0.47641, 0.47641) ; rot : 6.16305054
Temps :  8.6803155 ; pos : (0.47695, 0.47695) ; rot : 6.14746153
Temps :  8.7858503 ; pos : (0.47635, 0.47635) ; rot : 6.16456964
Temps :  8.8913560 ; pos : (0.47654, 0.47654) ; rot : 6.15959244
Temps :  8.9968727 ; pos : (0.47627, 0.47627) ; rot : 6.16728551
Temps :  9.1023936 ; pos : (0.47641, 0.47641) ; rot : 6.16331861
Temps :  9.2079329 ; pos : (0.47695, 0.47695) ; rot : 6.14733463
Temps :  9.3134508 ; pos : (0.47678, 0.47678) ; rot : 6.15289601
Temps :  9.4199746 ; pos : (0.47644, 0.47644) ; rot : 6.16230269
Temps :  9.5244973 ; pos : (0.47639, 0.47639) ; rot : 6.16341371
Temps :  9.6300263 ; pos : (0.47683, 0.47683) ; rot : 6.15110196
Temps :  9.7380707 ; pos : (0.47691, 0.47691) ; rot : 6.14855391
Temps :  9.8403420 ; pos : (0.47650, 0.47650) ; rot : 6.16086149
Temps :  9.9463665 ; pos : (0.47692, 0.47692) ; rot : 6.14836811
Temps : 10.0518837 ; pos : (0.47652, 0.47652) ; rot : 6.16003353
Temps : 10.1574094 ; pos : (0.47695, 0.47695) ; rot : 6.14783593
Temps : 10.2629299 ; pos : (0.47703, 0.47703) ; rot : 6.14522394
Temps : 10.3684461 ; pos : (0.47642, 0.47642) ; rot : 6.16282933
Temps : 10.4739685 ; pos : (0.47637, 0.47637) ; rot : 6.16396032
Temps : 10.5794845 ; pos : (0.47697, 0.47697) ; rot : 6.14708945
Temps : 10.6850190 ; pos : (0.47685, 0.47685) ; rot : 6.15013695
Temps : 10.7905371 ; pos : (0.47645, 0.47645) ; rot : 6.16195215
Temps : 10.8970549 ; pos : (0.47664, 0.47664) ; rot : 6.15629214
Temps : 11.0015993 ; pos : (0.47639, 0.47639) ; rot : 6.16363651
Temps : 11.1072030 ; pos : (0.47691, 0.47691) ; rot : 6.14901824
Temps : 11.2138510 ; pos : (0.47622, 0.47622) ; rot : 6.16879561
Temps : 11.3183718 ; pos : (0.47663, 0.47663) ; rot : 6.15727648
Temps : 11.4238920 ; pos : (0.47502, 0.47502) ; rot : 6.19627448
Fermeture de l'application
TCPClient : Fermeture
Temps : 11.5324261 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 11.6349452 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 11.7404962 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 11.8461287 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 11.9512784 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 12.0597894 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 12.1623032 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 12.2678206 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 12.3733416 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 12.4788558 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 12.5845015 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 12.6900523 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 12.7955709 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 12.9011173 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 13.0066264 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 13.1122208 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 13.2178085 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 13.3231642 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 13.4286819 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 13.5342014 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 13.6397645 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 13.7457838 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 13.8513520 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 13.9569747 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 14.0624673 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 14.1680791 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
Temps : 14.2735553 ; pos : (0.47461, 0.47461) ; rot : 6.20852876
